2,43.77,29.03,100952.50,28.12,0.52
1,44.94,29.28,100949.50,28.56,1.04
2,43.74,29.02,100955.25,28.12,0.52
1,45.00,29.29,100947.00,28.56,1.02
2,43.71,29.03,100950.50,28.12,0.53
1,45.06,29.29,100949.00,28.56,1.02
2,43.71,29.04,100950.00,28.12,0.52
1,45.10,29.29,100950.25,28.56,1.02
2,43.68,29.02,100953.00,28.12,0.52
1,45.12,29.30,100951.25,28.56,1.02
2,43.67,29.03,100952.50,28.12,0.52
1,45.11,29.30,100948.50,28.56,1.02
2,43.68,29.03,100952.25,28.12,0.51
1,45.11,29.31,100947.25,28.56,1.01
2,43.69,29.01,100954.00,28.12,0.52
1,45.14,29.31,100944.75,28.56,1.02
2,43.71,29.02,100952.75,28.12,0.52
1,45.10,29.30,100945.75,28.56,1.01
2,43.71,29.01,100949.00,28.12,0.51
1,45.15,29.30,100945.50,28.56,1.02
2,43.74,29.00,100951.75,28.12,0.52
1,45.12,29.31,100948.75,28.56,1.00
2,43.78,29.01,100949.25,28.12,0.51
1,45.06,29.31,100947.25,28.56,1.01
2,43.80,29.01,100952.50,28.12,0.51
1,45.03,29.30,100948.25,28.56,1.01
2,43.80,29.01,100951.00,28.12,0.52
1,45.01,29.31,100950.00,28.56,1.01
2,43.87,29.00,100953.50,28.12,0.53
1,44.99,29.31,100945.50,28.56,1.00
2,43.90,29.02,100952.50,28.12,0.54
1,44.94,29.31,100949.50,28.56,1.00
2,43.92,29.01,100954.25,28.12,0.52
1,44.89,29.33,100948.25,28.56,1.00
2,43.94,29.01,100952.50,28.12,0.51
1,44.86,29.31,100947.75,28.56,1.00
2,43.90,29.01,100949.50,28.12,0.51
1,44.83,29.33,100950.75,28.56,0.99
2,43.87,29.00,100950.50,28.12,0.51
1,44.89,29.34,100945.50,28.56,0.99
2,43.87,29.00,100951.25,28.12,0.51
1,45.03,29.32,100949.00,28.56,1.00
2,43.88,29.01,100949.50,28.12,0.51
1,45.07,29.33,100949.00,28.56,1.01
2,43.88,29.01,100949.50,28.12,0.52
1,45.11,29.33,100948.75,28.56,0.99
2,43.87,29.00,100948.75,28.12,0.53
1,45.20,29.33,100948.50,28.56,1.00
2,43.88,29.01,100951.75,28.12,0.51
1,45.23,29.33,100944.25,28.56,1.07
2,43.88,29.00,100950.75,28.12,0.51
1,45.26,29.34,100945.75,28.56,1.10
2,43.92,29.02,100949.75,28.12,0.51
1,45.32,29.33,100946.75,28.56,1.10
2,43.93,29.02,100951.50,28.12,0.51
1,45.26,29.32,100947.75,28.56,1.07
2,43.96,29.01,100948.50,28.12,0.50
1,45.16,29.33,100944.75,28.56,1.01
2,44.03,29.01,100950.50,28.12,0.51
1,45.25,29.32,100951.00,28.56,1.01
2,44.15,29.01,100948.50,28.12,0.51
1,45.45,29.32,100949.50,28.56,1.00
2,44.16,29.01,100950.50,28.12,0.51
1,45.48,29.33,100947.75,28.56,1.01
2,44.11,29.02,100949.00,28.12,0.50
1,45.48,29.34,100946.75,28.56,1.01
2,44.01,29.02,100947.50,28.12,0.51
1,45.43,29.34,100948.50,28.62,1.00
2,43.99,29.01,100950.50,28.12,0.51
1,45.38,29.35,100948.25,28.62,1.01
2,43.97,29.03,100947.25,28.12,0.52
1,45.36,29.33,100948.25,28.62,0.99
2,43.99,29.04,100951.50,28.12,0.52
1,45.36,29.35,100947.25,28.62,0.99
2,44.02,29.05,100949.00,28.19,0.51
1,45.30,29.34,100951.25,28.62,0.98
2,44.00,29.04,100948.75,28.12,0.51
1,45.23,29.36,100947.75,28.62,0.99
2,43.96,29.04,100949.25,28.12,0.51
1,45.19,29.36,100947.00,28.62,1.00
2,43.92,29.04,100950.25,28.19,0.51
1,45.18,29.37,100949.25,28.62,1.00
2,43.96,29.04,100946.75,28.12,0.51
1,45.16,29.36,100944.00,28.62,1.00
2,44.07,29.03,100946.25,28.12,0.51
1,45.13,29.37,100944.75,28.62,1.00
2,44.08,29.04,100948.25,28.19,0.51
